I, [2018-12-04T14:29:02.322971 #57689]  INFO -- Kitchen: -----> Starting Kitchen (v1.23.2)
E, [2018-12-04T14:29:02.323501 #57689] ERROR -- Kitchen: ------Exception-------
E, [2018-12-04T14:29:02.323556 #57689] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2018-12-04T14:29:02.323582 #57689] ERROR -- Kitchen: Message: Kitchen YAML file /Users/marko/Documents/DEV/chef/chef-repo/.kitchen.yml does not exist.
E, [2018-12-04T14:29:02.323608 #57689] ERROR -- Kitchen: ----------------------
E, [2018-12-04T14:29:02.323626 #57689] ERROR -- Kitchen: ------Backtrace-------
E, [2018-12-04T14:29:02.323643 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/loader/yaml.rb:65:in `read'
E, [2018-12-04T14:29:02.323661 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:152:in `data'
E, [2018-12-04T14:29:02.323679 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:131:in `suites'
E, [2018-12-04T14:29:02.323696 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:182:in `filter_instances'
E, [2018-12-04T14:29:02.323714 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:141:in `build_instances'
E, [2018-12-04T14:29:02.323731 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/config.rb:117:in `instances'
E, [2018-12-04T14:29:02.323769 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command.rb:112:in `filtered_instances'
E, [2018-12-04T14:29:02.323791 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command.rb:142:in `parse_subcommand'
E, [2018-12-04T14:29:02.323812 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command/test.rb:40:in `block in call'
E, [2018-12-04T14:29:02.323834 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.5.0/benchmark.rb:293:in `measure'
E, [2018-12-04T14:29:02.323852 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/command/test.rb:38:in `call'
E, [2018-12-04T14:29:02.323869 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/cli.rb:52:in `perform'
E, [2018-12-04T14:29:02.323886 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/cli.rb:245:in `test'
E, [2018-12-04T14:29:02.323904 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/command.rb:27:in `run'
E, [2018-12-04T14:29:02.323922 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/invocation.rb:126:in `invoke_command'
E, [2018-12-04T14:29:02.323939 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor.rb:387:in `dispatch'
E, [2018-12-04T14:29:02.323956 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/thor-0.20.0/lib/thor/base.rb:466:in `start'
E, [2018-12-04T14:29:02.323974 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/bin/kitchen:13:in `block in <top (required)>'
E, [2018-12-04T14:29:02.323991 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/lib/kitchen/errors.rb:171:in `with_friendly_errors'
E, [2018-12-04T14:29:02.324011 #57689] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.5.0/gems/test-kitchen-1.23.2/bin/kitchen:13:in `<top (required)>'
E, [2018-12-04T14:29:02.324029 #57689] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:296:in `load'
E, [2018-12-04T14:29:02.324046 #57689] ERROR -- Kitchen: /opt/chefdk/bin/kitchen:296:in `<main>'
E, [2018-12-04T14:29:02.324062 #57689] ERROR -- Kitchen: ----End Backtrace-----
